home_team_name,away_team_name,referee,home_team_corner_count,away_team_corner_count,total_corners,stadium_name
Manchester City,Brighton & Hove Albion,Lee Mason,10,3,13,Etihad Stadium (Manchester)
Newcastle United,Leicester City,Simon Hooper,5,9,14,St. James' Park (Newcastle upon Tyne)
Wolverhampton Wanderers,Southampton,Stuart Attwell,8,6,14,Molineux Stadium (Wolverhampton- West Midlands)
Chelsea,Liverpool,Andre Marriner,4,4,8,Stamford Bridge (London)
Cardiff City,Burnley,Martin Atkinson,10,2,12,Cardiff City Stadium (Cardiff (Caerdydd))
AFC Bournemouth,Crystal Palace,Mike Dean,3,3,6,Vitality Stadium (Bournemouth- Dorset)
Brighton & Hove Albion,West Ham United,Kevin Friend,2,9,11,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Huddersfield Town,Chris Kavanagh,1,10,11,Turf Moor (Burnley)
Crystal Palace,Wolverhampton Wanderers,Michael Oliver,6,3,9,Selhurst Park (London)
Leicester City,Everton,Andre Marriner,2,10,12,King Power Stadium (Leicester- Leicestershire)
Tottenham Hotspur,Cardiff City,Mike Dean,6,2,8,Wembley Stadium (London)
Watford,AFC Bournemouth,Jonathan Moss,10,7,17,Vicarage Road (Watford)
Manchester United,Newcastle United,Anthony Taylor,10,6,16,Old Trafford (Manchester)
Fulham,Arsenal,Paul Tierney,4,2,6,Craven Cottage (London)
Southampton,Chelsea,Craig Pawson,4,12,16,St. Mary's Stadium (Southampton- Hampshire)
Liverpool,Manchester City,Martin Atkinson,2,6,8,Anfield (Liverpool)
Chelsea,Manchester United,Mike Dean,5,3,8,Stamford Bridge (London)
AFC Bournemouth,Southampton,Lee Probert,6,4,10,Vitality Stadium (Bournemouth- Dorset)
Cardiff City,Fulham,Kevin Friend,4,4,8,Cardiff City Stadium (Cardiff (Caerdydd))
Manchester City,Burnley,Jonathan Moss,10,1,11,Etihad Stadium (Manchester)
Newcastle United,Brighton & Hove Albion,Andre Marriner,10,2,12,St. James' Park (Newcastle upon Tyne)
West Ham United,Tottenham Hotspur,Martin Atkinson,10,6,16,London Stadium (London)
Wolverhampton Wanderers,Watford,Lee Mason,8,2,10,Molineux Stadium (Wolverhampton- West Midlands)
Huddersfield Town,Liverpool,Michael Oliver,2,4,6,John Smith's Stadium (Huddersfield- West Yorkshire)
Everton,Crystal Palace,Anthony Taylor,10,5,15,Goodison Park (Liverpool)
Arsenal,Leicester City,Chris Kavanagh,6,4,10,Emirates Stadium (London)
Brighton & Hove Albion,Wolverhampton Wanderers,Anthony Taylor,1,10,11,The American Express Community Stadium (Falmer- East Sussex)
Fulham,AFC Bournemouth,Andre Marriner,5,5,10,Craven Cottage (London)
Liverpool,Cardiff City,Stuart Attwell,8,0,8,Anfield (Liverpool)
Southampton,Newcastle United,Chris Kavanagh,7,2,9,St. Mary's Stadium (Southampton- Hampshire)
Watford,Huddersfield Town,Mike Dean,3,3,6,Vicarage Road (Watford)
Leicester City,West Ham United,Michael Oliver,8,0,8,King Power Stadium (Leicester- Leicestershire)
Burnley,Chelsea,Craig Pawson,4,4,8,Turf Moor (Burnley)
Crystal Palace,Arsenal,Martin Atkinson,6,4,10,Selhurst Park (London)
Manchester United,Everton,Jonathan Moss,8,4,12,Old Trafford (Manchester)
Tottenham Hotspur,Manchester City,Kevin Friend,3,6,9,Wembley Stadium (London)
AFC Bournemouth,Manchester United,Paul Tierney,9,5,14,Vitality Stadium (Bournemouth- Dorset)
Cardiff City,Leicester City,Lee Probert,6,12,18,Cardiff City Stadium (Cardiff (Caerdydd))
Everton,Brighton & Hove Albion,David Coote,6,4,10,Goodison Park (Liverpool)
Newcastle United,Watford,Craig Pawson,8,9,17,St. James' Park (Newcastle upon Tyne)
West Ham United,Burnley,Roger East,10,4,14,London Stadium (London)
Arsenal,Liverpool,Andre Marriner,5,8,13,Emirates Stadium (London)
Wolverhampton Wanderers,Tottenham Hotspur,Mike Dean,5,1,6,Molineux Stadium (Wolverhampton- West Midlands)
Manchester City,Southampton,Lee Mason,4,4,8,Etihad Stadium (Manchester)
Chelsea,Crystal Palace,Michael Oliver,4,2,6,Stamford Bridge (London)
Huddersfield Town,Fulham,Anthony Taylor,5,4,9,John Smith's Stadium (Huddersfield- West Yorkshire)
Cardiff City,Brighton & Hove Albion,Martin Atkinson,4,1,5,Cardiff City Stadium (Cardiff (Caerdydd))
Huddersfield Town,West Ham United,Chris Kavanagh,5,6,11,John Smith's Stadium (Huddersfield- West Yorkshire)
Leicester City,Burnley,Mike Dean,12,1,13,King Power Stadium (Leicester- Leicestershire)
Newcastle United,AFC Bournemouth,Lee Probert,7,10,17,St. James' Park (Newcastle upon Tyne)
Southampton,Watford,Simon Hooper,7,6,13,St. Mary's Stadium (Southampton- Hampshire)
Crystal Palace,Tottenham Hotspur,Jonathan Moss,10,6,16,Selhurst Park (London)
Liverpool,Fulham,Paul Tierney,6,3,9,Anfield (Liverpool)
Chelsea,Everton,Kevin Friend,5,5,10,Stamford Bridge (London)
Arsenal,Wolverhampton Wanderers,Stuart Attwell,11,2,13,Emirates Stadium (London)
Manchester City,Manchester United,Anthony Taylor,5,1,6,Etihad Stadium (Manchester)
Brighton & Hove Albion,Leicester City,Chris Kavanagh,6,1,7,The American Express Community Stadium (Falmer- East Sussex)
Everton,Cardiff City,Paul Tierney,7,3,10,Goodison Park (Liverpool)
Fulham,Southampton,Michael Oliver,2,5,7,Craven Cottage (London)
