home_team_name,away_team_name,referee,home_team_corner_count,away_team_corner_count,total_corners,stadium_name
Wolverhampton Wanderers,West Ham United,David Coote,5,1,6,Molineux Stadium (Wolverhampton- West Midlands)
Manchester United,Burnley,Jonathan Moss,11,3,14,Old Trafford (Manchester)
Newcastle United,Manchester City,Paul Tierney,1,8,9,St. James' Park (Newcastle upon Tyne)
AFC Bournemouth,Chelsea,Roger East,3,7,10,Vitality Stadium (Bournemouth- Dorset)
Southampton,Crystal Palace,Andre Marriner,3,8,11,St. Mary's Stadium (Southampton- Hampshire)
Liverpool,Leicester City,Martin Atkinson,7,1,8,Anfield (Liverpool)
Tottenham Hotspur,Watford,Graham Scott,9,5,14,Wembley Stadium (London)
Tottenham Hotspur,Newcastle United,Andre Marriner,6,3,9,Wembley Stadium (London)
Brighton & Hove Albion,Watford,Simon Hooper,7,0,7,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Southampton,Anthony Taylor,4,2,6,Turf Moor (Burnley)
Chelsea,Huddersfield Town,Paul Tierney,11,2,13,Stamford Bridge (London)
Crystal Palace,Fulham,Michael Oliver,11,1,12,Selhurst Park (London)
Everton,Wolverhampton Wanderers,Lee Mason,3,1,4,Goodison Park (Liverpool)
Cardiff City,AFC Bournemouth,Jonathan Moss,6,7,13,Cardiff City Stadium (Cardiff (Caerdydd))
Leicester City,Manchester United,Mike Dean,7,2,9,King Power Stadium (Leicester- Leicestershire)
Manchester City,Arsenal,Martin Atkinson,4,2,6,Etihad Stadium (Manchester)
West Ham United,Liverpool,Kevin Friend,2,5,7,London Stadium (London)
Everton,Manchester City,Craig Pawson,5,6,11,Goodison Park (Liverpool)
Fulham,Manchester United,Paul Tierney,5,4,9,Craven Cottage (London)
Crystal Palace,West Ham United,Craig Pawson,10,4,14,Selhurst Park (London)
Huddersfield Town,Arsenal,Jonathan Moss,5,0,5,John Smith's Stadium (Huddersfield- West Yorkshire)
Liverpool,AFC Bournemouth,Anthony Taylor,8,5,13,Anfield (Liverpool)
Southampton,Cardiff City,Martin Atkinson,8,2,10,St. Mary's Stadium (Southampton- Hampshire)
Watford,Everton,Lee Probert,8,2,10,Vicarage Road (Watford)
Brighton & Hove Albion,Burnley,Stuart Attwell,9,3,12,The American Express Community Stadium (Falmer- East Sussex)
Tottenham Hotspur,Leicester City,Michael Oliver,2,9,11,Wembley Stadium (London)
Manchester City,Chelsea,Mike Dean,2,2,4,Etihad Stadium (Manchester)
Wolverhampton Wanderers,Newcastle United,Graham Scott,13,1,14,Molineux Stadium (Wolverhampton- West Midlands)
Cardiff City,Watford,Simon Hooper,3,3,6,Cardiff City Stadium (Cardiff (Caerdydd))
West Ham United,Fulham,Lee Mason,12,0,12,London Stadium (London)
Burnley,Tottenham Hotspur,Mike Dean,7,6,13,Turf Moor (Burnley)
AFC Bournemouth,Wolverhampton Wanderers,Roger East,9,8,17,Vitality Stadium (Bournemouth- Dorset)
Newcastle United,Huddersfield Town,Kevin Friend,12,0,12,St. James' Park (Newcastle upon Tyne)
Leicester City,Crystal Palace,Anthony Taylor,8,3,11,King Power Stadium (Leicester- Leicestershire)
Arsenal,Southampton,Graham Scott,6,4,10,Emirates Stadium (London)
Manchester United,Liverpool,Michael Oliver,3,7,10,Old Trafford (Manchester)
Cardiff City,Everton,Kevin Friend,3,4,7,Cardiff City Stadium (Cardiff (Caerdydd))
Huddersfield Town,Wolverhampton Wanderers,David Coote,3,5,8,John Smith's Stadium (Huddersfield- West Yorkshire)
Leicester City,Brighton & Hove Albion,Lee Probert,4,8,12,King Power Stadium (Leicester- Leicestershire)
Newcastle United,Burnley,Craig Pawson,4,7,11,St. James' Park (Newcastle upon Tyne)
Arsenal,AFC Bournemouth,Chris Kavanagh,9,4,13,Emirates Stadium (London)
Southampton,Fulham,Anthony Taylor,7,4,11,St. Mary's Stadium (Southampton- Hampshire)
Crystal Palace,Manchester United,Martin Atkinson,5,6,11,Selhurst Park (London)
Chelsea,Tottenham Hotspur,Andre Marriner,2,2,4,Stamford Bridge (London)
Liverpool,Watford,Graham Scott,6,4,10,Anfield (Liverpool)
Manchester City,West Ham United,Stuart Attwell,13,2,15,Etihad Stadium (Manchester)
Tottenham Hotspur,Arsenal,Anthony Taylor,3,4,7,Wembley Stadium (London)
AFC Bournemouth,Manchester City,Kevin Friend,0,14,14,Vitality Stadium (Bournemouth- Dorset)
Brighton & Hove Albion,Huddersfield Town,Mike Dean,6,3,9,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Crystal Palace,Lee Probert,8,5,13,Turf Moor (Burnley)
Manchester United,Southampton,Stuart Attwell,9,7,16,Old Trafford (Manchester)
Wolverhampton Wanderers,Cardiff City,Andre Marriner,7,8,15,Molineux Stadium (Wolverhampton- West Midlands)
West Ham United,Newcastle United,Chris Kavanagh,1,6,7,London Stadium (London)
Watford,Leicester City,Jonathan Moss,1,5,6,Vicarage Road (Watford)
Fulham,Chelsea,Graham Scott,5,4,9,Craven Cottage (London)
Everton,Liverpool,Martin Atkinson,3,7,10,Goodison Park (Liverpool)
Crystal Palace,Brighton & Hove Albion,Craig Pawson,8,0,8,Selhurst Park (London)
Cardiff City,West Ham United,Graham Scott,7,5,12,Cardiff City Stadium (Cardiff (Caerdydd))
Huddersfield Town,AFC Bournemouth,Anthony Taylor,6,5,11,John Smith's Stadium (Huddersfield- West Yorkshire)
Leicester City,Fulham,David Coote,6,5,11,King Power Stadium (Leicester- Leicestershire)
Newcastle United,Everton,Lee Mason,8,2,10,St. James' Park (Newcastle upon Tyne)
Southampton,Tottenham Hotspur,Kevin Friend,1,10,11,St. Mary's Stadium (Southampton- Hampshire)
Manchester City,Watford,Paul Tierney,9,1,10,Etihad Stadium (Manchester)
Liverpool,Burnley,Andre Marriner,7,3,10,Anfield (Liverpool)
Chelsea,Wolverhampton Wanderers,Michael Oliver,13,0,13,Stamford Bridge (London)
Arsenal,Manchester United,Jonathan Moss,5,2,7,Emirates Stadium (London)
AFC Bournemouth,Newcastle United,Mike Dean,6,6,12,Vitality Stadium (Bournemouth- Dorset)
Burnley,Leicester City,Michael Oliver,9,3,12,Turf Moor (Burnley)
West Ham United,Huddersfield Town,Jonathan Moss,5,8,13,London Stadium (London)
Fulham,Liverpool,Craig Pawson,1,10,11,Craven Cottage (London)
Everton,Chelsea,Anthony Taylor,3,4,7,Goodison Park (Liverpool)
Fulham,Manchester City,Kevin Friend,0,11,11,Craven Cottage (London)
Brighton & Hove Albion,Southampton,Michael Oliver,6,5,11,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Wolverhampton Wanderers,Chris Kavanagh,1,5,6,Turf Moor (Burnley)
Crystal Palace,Huddersfield Town,Lee Probert,5,5,10,Selhurst Park (London)
Leicester City,AFC Bournemouth,Lee Mason,6,1,7,King Power Stadium (Leicester- Leicestershire)
Manchester United,Watford,Stuart Attwell,3,5,8,Old Trafford (Manchester)
